username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
ranggagitahomaya,negatif,"Semoga masalah sampah cepat teratasi dan semoga juga Siltap para Perangkat Desa cpt cair juga udah hampir 3 bulan masih belum ada tanda-tanda, kebutuhan hidup semakin meningkat Bapak Presiden","May the trash problem be quickly resolved and may the village apparatus also soon be appointed, it's almost a month and there's still no sign of improvement in the increasing cost of living, Mr. President.","may the trash problem be quickly resolved and may the village apparatus also soon be appointed, it's almost a month and there's still no sign of improvement in the increasing cost of living, mr. president.",may the trash problem be quickly resolved and may the village apparatus also soon be appointed  it s almost a month and there s still no sign of improvement in the increasing cost of living  mr  president,trash problem quickly resolve village apparatus also soon appoint s almost month s still sign improvement increase cost live mr president,trash problem quickly resolve village apparatus soon appoint s month s sign improvement increase cost live mr president
lulukisminati,positif,Ada lowongan perawat ta min..,There are vacant nurse positions available.,there are vacant nurse positions available.,there are vacant nurse positions available,vacant nurse position available,vacant nurse position available
pcipnuppnu,positif,terima kasih😍🙌,Thank you.,thank you.,thank you,thank,thank
dr.titikernakrisna,positif,Terima kasih bapak bupati dan Bu Wabup sudah mendengarkan dan merealisasikan aspirasi dan partisipasi anak anak kabupaten Gresik melalui Komunitas anak Gresik,Thank you to the Regent and the Vice Regent for listening and realizing the aspirations and participation of the children of Gresik Regency through the Gresik Children's Community.,thank you to the regent and the vice regent for listening and realizing the aspirations and participation of the children of gresik regency through the gresik children's community.,thank you to the regent and the vice regent for listening and realizing the aspirations and participation of the children of gresik regency through the gresik children s community,thank regent vice regent listen realize aspiration participation child gresik regency gresik child community,thank regent vice regent listen realize aspiration participation child gresik regency gresik child community
soemaja,negatif,Banjir banjir,Floods floods,floods floods,floods floods,flood flood,flood flood
rohmansubkhi,negatif,"Bu @khofifah cerme masih kebanjiran terus, tanggul jebol lagi dan lagi","The floods are still overflowing continuously, the dike is bursting again and again.","the floods are still overflowing continuously, the dike is bursting again and again.",the floods are still overflowing continuously  the dike is bursting again and again,flood still overflow continuously dike burst again again,flood overflow continuously dike burst
cak.uyi,negatif,KPPS lagi ini😁,"""This time again kpps"".","""this time again kpps"".",this time again kpps,time again kpp,time kpp
hollyfmolly,positif,1 hari laginya mana?,Where is the other day?,where is the other day?,where is the other day,other day,day
edy2mulya,positif,Clue no. 03 ok,"There is no clue, okay.","there is no clue, okay.",there is no clue  okay,clue,clue
agnes_charis,positif,Ada barongsai nya kapan min???,When will his dragon dance be?,when will his dragon dance be?,when will his dragon dance be,dragon dance,dragon dance
gempita_spentisagres,positif,Barusan dari sana... bapaknya welcome banget.,"Just now, his father came from there and he's extremely welcome.","just now, his father came from there and he's extremely welcome.",just now  his father came from there and he s extremely welcome,just now father come there s extremely welcome,father come s extremely welcome
suaragresik.id,positif," betul sekali kak, kemarin mimin dari sana juga gak terasa 1 jam lebih ngobrol sambil keliling klenteng 😍","It's really true, yesterday Mimin from there also didn't realize the time while chatting and strolling around the temple.","it's really true, yesterday mimin from there also didn't realize the time while chatting and strolling around the temple.",it s really true  yesterday mimin from there also didn t realize the time while chatting and strolling around the temple,s really true yesterday mimin also didn t realize time chat stroll temple,s true yesterday mimin didn t realize time chat stroll temple
suaragresik.id,positif,"@agnes_charis untuk tahun ini karena sedang ada Pemilu 2024 jadi tidak ada perayaan kak, sembahyang saja ☺️","There will be no celebrations this year because there is an election, so we will only have a quiet prayer service.","there will be no celebrations this year because there is an election, so we will only have a quiet prayer service.",there will be no celebrations this year because there is an election  so we will only have a quiet prayer service,celebration year election only quiet prayer service,celebration year election quiet prayer service
andrew_terro_nababan,positif,Keren Banget Klenteng ini..,This temple is really cool.,this temple is really cool.,this temple is really cool,temple really cool,temple cool
suaragresik.id,positif, ayo kak ke sana,"Oh damn it, at that time!","oh damn it, at that time!",oh damn it  at that time,time,time
yoshibuan_broto,negatif,Sepi gak ada barongsai padahal sudah ngajak anak 😢,"There is no lion dance, even though we already invited the child.","there is no lion dance, even though we already invited the child.",there is no lion dance  even though we already invited the child,lion dance even already invite child,lion dance invite child
kartikofausa,negatif,Bangunan aslinya yang mana ? Kalau abad 12 gak mungkin bangunanya udah semen gitu,"The original building of which, if it were centuries old, would not have used concrete like that.","the original building of which, if it were centuries old, would not have used concrete like that.",the original building of which  if it were centuries old  would not have used concrete like that,original building century old use concrete,original building century old use concrete
mariah0190,positif,kalau mau lihat barongsai bisa datang di acara Imlek tgl 17 di SD setia Budhi kak. Sekolah kami merayakan hari Imlek dan ada bazarnya juga. Barangkali mau mampir boleh banget. SD setia Budhi juga adalah SD yang dijadikan cagar budaya karena sudah berdiri lebih dari 50 tahun yang lalu🙏😊,"If you want to see the lion dance, you can come to our school's Imlek celebration at SD Setia Budhi, which has been designated as a cultural heritage site, and is over a century old, on the occasion of Imlek, and there will also be a bazaar, so feel free to drop by.","if you want to see the lion dance, you can come to our school's imlek celebration at sd setia budhi, which has been designated as a cultural heritage site, and is over a century old, on the occasion of imlek, and there will also be a bazaar, so feel free to drop by.",if you want to see the lion dance  you can come to our school s imlek celebration at sd setia budhi  which has been designated as a cultural heritage site  and is over a century old  on the occasion of imlek  and there will also be a bazaar  so feel free to drop by,want see lion dance come school imlek celebration sd setia budhi designate cultural heritage site century old occasion imlek also bazaar so feel free drop,want lion dance come school imlek celebration sd setia budhi designate cultural heritage site century old occasion imlek bazaar feel free drop
suaragresik.id,positif,yang di dalam kak masih banyak yang asli kayu,There are still many original wooden ones inside the cabin.,there are still many original wooden ones inside the cabin.,there are still many original wooden ones inside the cabin,still many original wooden one cabin,original wooden cabin
